Category_name,Cat_id,Keywords,Competitiveness,Monthly_num_search
패션의류,50000000,숏패딩,중간,309600
패션의류,50000000,패딩,중간,527900
패션의류,50000000,롱패딩,중간,434700
패션의류,50000000,패딩조끼,높음,217600
패션의류,50000000,여성패딩,높음,155500
패션의류,50000000,경량패딩,중간,391800
패션의류,50000000,원피스,중간,181300
패션의류,50000000,여성롱패딩,높음,95800
패션의류,50000000,코트,중간,118500
패션의류,50000000,코듀로이팬츠,높음,130600
패션잡화,50000001,어그슬리퍼,중간,431800
패션잡화,50000001,어그부츠,중간,408200
패션잡화,50000001,나이키운동화,높음,298500
패션잡화,50000001,어그,중간,676700
패션잡화,50000001,목도리,중간,246300
패션잡화,50000001,캐리어,중간,239600
패션잡화,50000001,운동화,중간,150700
패션잡화,50000001,방한화,높음,132900
패션잡화,50000001,털슬리퍼,높음,156900
패션잡화,50000001,크록스,중간,629400
화장품/미용,50000002,샴푸,중간,81200
화장품/미용,50000002,핸드크림,중간,105200
화장품/미용,50000002,바디로션,중간,90700
화장품/미용,50000002,탈모샴푸,높음,69400
화장품/미용,50000002,바디워시,중간,61980
화장품/미용,50000002,ahc아이크림,중간,73990
화장품/미용,50000002,마데카크림,중간,96640
화장품/미용,50000002,디올립글로우,높음,117480
화장품/미용,50000002,트리트먼트,높음,40200
화장품/미용,50000002,마스크팩,중간,55590
디지털/가전,50000003,가습기,중간,545200
디지털/가전,50000003,전기히터,높음,116000
디지털/가전,50000003,탄소매트,중간,177400
디지털/가전,50000003,가열식가습기,중간,258400
디지털/가전,50000003,전기매트,높음,149100
디지털/가전,50000003,온풍기,중간,201400
디지털/가전,50000003,무선청소기,중간,140700
디지털/가전,50000003,냉장고,중간,225600
디지털/가전,50000003,김치냉장고,중간,224800
디지털/가전,50000003,카본매트,높음,200600
가구/인테리어,50000004,행거,중간,177100
가구/인테리어,50000004,러그,중간,114300
가구/인테리어,50000004,선반,중간,81400
가구/인테리어,50000004,침대프레임,중간,103000
가구/인테리어,50000004,극세사이불,높음,92800
가구/인테리어,50000004,암막커튼,중간,111000
가구/인테리어,50000004,쇼파,중간,135700
가구/인테리어,50000004,침대,중간,168800
가구/인테리어,50000004,화장대,높음,84900
가구/인테리어,50000004,매트리스,중간,145200
출산/육아,50000005,키즈패딩,높음,118100
출산/육아,50000005,키즈롱패딩,높음,63180
출산/육아,50000005,물티슈,중간,98900
출산/육아,50000005,노스페이스키즈패딩,높음,74510
출산/육아,50000005,답례품,높음,77400
출산/육아,50000005,네파키즈패딩,높음,48570
출산/육아,50000005,베베드피노,중간,472000
출산/육아,50000005,백일상대여,중간,36110
출산/육아,50000005,레고,중간,293000
출산/육아,50000005,노스페이스키즈,높음,119360
식품,50000006,빼빼로,중간,475400
식품,50000006,오메가3,중간,225300
식품,50000006,과메기,높음,321300
식품,50000006,절임배추,높음,218800
식품,50000006,사과,중간,221300
식품,50000006,글루타치온,중간,345700
식품,50000006,닭가슴살,중간,228500
식품,50000006,가리비,중간,110800
식품,50000006,굴,높음,172000
식품,50000006,유산균,중간,147400
스포츠/레저,50000007,핫팩,중간,320900
스포츠/레저,50000007,노스페이스패딩,중간,724200
스포츠/레저,50000007,롱패딩,중간,434700
스포츠/레저,50000007,디스커버리패딩,중간,391600
스포츠/레저,50000007,k2패딩,높음,299100
스포츠/레저,50000007,노스페이스눕시,중간,464900
스포츠/레저,50000007,패딩,중간,527900
스포츠/레저,50000007,바라클라바,중간,428200
스포츠/레저,50000007,k2씬에어,높음,201800
스포츠/레저,50000007,경량패딩,중간,391800
생활/건강,50000008,크리스마스트리,중간,458500
생활/건강,50000008,전자담배액상,중간,110300
생활/건강,50000008,스피드랙,높음,68100
생활/건강,50000008,비데,중간,108000
생활/건강,50000008,스탠리텀블러,중간,229800
생활/건강,50000008,차량용방향제,중간,130400
생활/건강,50000008,텀블러,중간,156700
생활/건강,50000008,수건,중간,65600
생활/건강,50000008,멀티탭,중간,111000
생활/건강,50000008,스타벅스텀블러,중간,218700
여가/생활편의,50000009,화환,높음,67000
여가/생활편의,50000009,부산요트투어,중간,36030
여가/생활편의,50000009,근조화환,중간,51100
여가/생활편의,50000009,문화상품권,중간,160500
여가/생활편의,50000009,신세계상품권,중간,107600
여가/생활편의,50000009,크루즈여행,중간,95300
여가/생활편의,50000009,유튜브프리미엄,낮음,180700
여가/생활편의,50000009,코스트코상품권,중간,98090
여가/생활편의,50000009,개업화분,중간,47200
여가/생활편의,50000009,일본유심,중간,98700
면세점,50000010,카메라,중간,46580
면세점,50000010,면세점가방,중간,3230
면세점,50000010,면세점향수,중간,4100
면세점,50000010,면세점선글라스,중간,2290
면세점,50000010,롱샴면세점,낮음,2170
면세점,50000010,면세점시계,중간,1130
면세점,50000010,어그면세점,낮음,2320
면세점,50000010,면세점어그,낮음,2650
면세점,50000010,인천공항면세점향수,낮음,2460
면세점,50000010,인천공항면세점선글라스,중간,1570
도서,50005542,쇼펜하우어,낮음,156700
도서,50005542,라스텔라성경,낮음,27080
도서,50005542,베스트셀러순위,높음,63100
도서,50005542,세이노의가르침,중간,49800
도서,50005542,전지적푸바오시점,낮음,29300
도서,50005542,베스트셀러,높음,72700
도서,50005542,쇼펜하우어책,높음,35310
도서,50005542,구의증명,중간,43730
도서,50005542,퓨처셀프,중간,44290
도서,50005542,마흔에읽는쇼펜하우어,중간,30780
