Category_name,Cat_id,Keywords,Competitiveness,Monthly_num_search
패션의류,50000000,숏패딩,높음,320000
패션의류,50000000,패딩,높음,472900
패션의류,50000000,롱패딩,중간,432000
패션의류,50000000,여성패딩,높음,171000
패션의류,50000000,스탁컨트롤,낮음,138620
패션의류,50000000,여성롱패딩,높음,112700
패션의류,50000000,코트,중간,123700
패션의류,50000000,코듀로이팬츠,높음,155400
패션의류,50000000,남자패딩,높음,149500
패션의류,50000000,패딩조끼,높음,164800
패션잡화,50000001,어그슬리퍼,중간,458500
패션잡화,50000001,어그부츠,높음,517500
패션잡화,50000001,어그,중간,770900
패션잡화,50000001,목도리,중간,270200
패션잡화,50000001,캐리어,중간,246000
패션잡화,50000001,나이키운동화,높음,280700
패션잡화,50000001,방한화,높음,173500
패션잡화,50000001,털슬리퍼,높음,157500
패션잡화,50000001,양말,높음,145900
패션잡화,50000001,귀마개,중간,155500
화장품/미용,50000002,핸드크림,중간,126900
화장품/미용,50000002,샴푸,중간,83700
화장품/미용,50000002,바디로션,중간,98300
화장품/미용,50000002,ahc아이크림,중간,77860
화장품/미용,50000002,마스크팩,중간,54990
화장품/미용,50000002,탈모샴푸,높음,68400
화장품/미용,50000002,디올립글로우,높음,124710
화장품/미용,50000002,록시땅핸드크림,중간,132800
화장품/미용,50000002,바디워시,중간,63870
화장품/미용,50000002,립밤,중간,94500
디지털/가전,50000003,가습기,중간,620700
디지털/가전,50000003,전기히터,높음,106400
디지털/가전,50000003,가열식가습기,중간,274300
디지털/가전,50000003,온풍기,중간,190600
디지털/가전,50000003,무선청소기,중간,139800
디지털/가전,50000003,탄소매트,중간,142400
디지털/가전,50000003,전기매트,높음,116600
디지털/가전,50000003,미니가습기,높음,132600
디지털/가전,50000003,김치냉장고,중간,213400
디지털/가전,50000003,전기난로,높음,86000
가구/인테리어,50000004,행거,중간,181000
가구/인테리어,50000004,선반,중간,82700
가구/인테리어,50000004,경추베개,중간,34290
가구/인테리어,50000004,러그,중간,114600
가구/인테리어,50000004,크리스마스오르골,높음,116600
가구/인테리어,50000004,베개,중간,183400
가구/인테리어,50000004,극세사이불,높음,82530
가구/인테리어,50000004,암막커튼,중간,108100
가구/인테리어,50000004,침대프레임,중간,101700
가구/인테리어,50000004,이불,중간,91700
출산/육아,50000005,키즈패딩,높음,106900
출산/육아,50000005,키즈롱패딩,높음,63470
출산/육아,50000005,답례품,높음,81200
출산/육아,50000005,네파키즈패딩,높음,46380
출산/육아,50000005,물티슈,중간,102100
출산/육아,50000005,층간소음매트,중간,42410
출산/육아,50000005,노스페이스키즈패딩,높음,71660
출산/육아,50000005,백일상대여,중간,39070
출산/육아,50000005,레고,중간,416700
출산/육아,50000005,뉴발란스키즈패딩,높음,72440
식품,50000006,오메가3,중간,221600
식품,50000006,과메기,높음,363400
식품,50000006,사과,중간,189600
식품,50000006,절임배추,높음,147000
식품,50000006,굴,높음,201000
식품,50000006,당근,중간,166000
식품,50000006,글루타치온,중간,318200
식품,50000006,가리비,중간,110600
식품,50000006,닭가슴살,중간,212500
식품,50000006,아르기닌,높음,161900
스포츠/레저,50000007,핫팩,중간,320000
스포츠/레저,50000007,노스페이스패딩,높음,677000
스포츠/레저,50000007,롱패딩,중간,432000
스포츠/레저,50000007,디스커버리패딩,중간,385200
스포츠/레저,50000007,바라클라바,중간,512100
스포츠/레저,50000007,노스페이스눕시,중간,479300
스포츠/레저,50000007,k2패딩,높음,286500
스포츠/레저,50000007,발열조끼,높음,141500
스포츠/레저,50000007,패딩,높음,472900
스포츠/레저,50000007,넥워머,중간,174500
생활/건강,50000008,크리스마스트리,중간,651500
생활/건강,50000008,스탠리텀블러,중간,284000
생활/건강,50000008,스피드랙,높음,66700
생활/건강,50000008,전자담배액상,중간,102900
생활/건강,50000008,멀티탭,중간,117000
생활/건강,50000008,전담액상,낮음,22860
생활/건강,50000008,비데,중간,118500
생활/건강,50000008,차량용방향제,중간,128800
생활/건강,50000008,수건,중간,64300
생활/건강,50000008,강아지패딩,높음,98700
여가/생활편의,50000009,화환,높음,66000
여가/생활편의,50000009,부산요트투어,중간,32240
여가/생활편의,50000009,근조화환,중간,56200
여가/생활편의,50000009,코스트코상품권,중간,130200
여가/생활편의,50000009,크루즈여행,중간,95500
여가/생활편의,50000009,문화상품권,중간,179000
여가/생활편의,50000009,개업화분,중간,48960
여가/생활편의,50000009,유튜브프리미엄,낮음,264500
여가/생활편의,50000009,일본유심,중간,108500
여가/생활편의,50000009,신세계상품권,중간,111800
면세점,50000010,면세점가방,중간,3150
면세점,50000010,면세점향수,중간,4080
면세점,50000010,면세점선글라스,중간,2210
면세점,50000010,어그면세점,낮음,2300
면세점,50000010,면세점시계,중간,1130
면세점,50000010,몽블랑맥세이프카드지갑,중간,1300
면세점,50000010,면세점어그,낮음,2550
면세점,50000010,면세점가방추천,높음,1120
면세점,50000010,인천공항면세점선글라스,중간,1780
면세점,50000010,몽블랑맥세이프,높음,940
도서,50005542,쇼펜하우어,낮음,114700
도서,50005542,베스트셀러순위,중간,68190
도서,50005542,세이노의가르침,중간,59100
도서,50005542,베스트셀러,높음,77400
도서,50005542,울트라러닝,높음,13820
도서,50005542,구의증명,중간,43210
도서,50005542,퓨처셀프,중간,45910
도서,50005542,전지적푸바오시점,낮음,24130
도서,50005542,마흔에읽는쇼펜하우어,중간,36610
도서,50005542,일류의조건,낮음,23360
